Date,Open,High,Low,Close,OI,OI_Change
10-Jan-2024,2611.95,2692.9,2606.45,2681.85,856250,43250
10-Jan-2024,2591.95,2671.35,2580.6,2660.55,33327000,721250
10-Jan-2024,2638.5,2716.0,2632.35,2705.05,76500,1500
09-Jan-2024,2646.0,2661.0,2635.0,2636.65,75000,-2250
09-Jan-2024,2627.6,2638.8,2611.0,2613.15,813000,42000
09-Jan-2024,2606.3,2617.0,2589.3,2592.0,32605750,-269250
08-Jan-2024,2621.95,2638.8,2575.0,2592.85,32875000,-18750
08-Jan-2024,2641.55,2662.0,2598.8,2614.65,771000,170250
08-Jan-2024,2665.6,2682.25,2624.0,2637.35,77250,13250
05-Jan-2024,2613.05,2633.9,2604.0,2619.85,32893750,41250
05-Jan-2024,2632.95,2655.0,2627.0,2642.5,600750,37000
05-Jan-2024,2665.0,2675.65,2651.0,2667.6,64000,14750
04-Jan-2024,2617.6,2644.4,2616.55,2636.05,563750,32500
04-Jan-2024,2597.35,2622.5,2590.0,2613.0,32852500,-665750
04-Jan-2024,2640.1,2666.45,2639.0,2660.05,49250,5000
03-Jan-2024,2673.15,2689.0,2638.4,2641.95,44250,15500
03-Jan-2024,2617.55,2646.5,2590.0,2596.0,33518250,112750
03-Jan-2024,2640.95,2669.2,2613.05,2618.2,531250,49250
02-Jan-2024,2627.6,2651.0,2605.55,2647.15,482000,124500
02-Jan-2024,2659.1,2672.0,2629.9,2669.4,28750,5250
02-Jan-2024,2606.65,2629.5,2584.25,2624.6,33405500,181250
01-Jan-2024,2621.6,2650.4,2614.0,2636.3,357500,32750
01-Jan-2024,2601.45,2629.0,2592.0,2613.3,33224250,-279750
01-Jan-2024,2644.4,2671.3,2637.35,2657.3,23500,10000
